subscription_id,customer_id,customer_name,plan_name,mrr_amount,previous_mrr,status,start_date,end_date
sub_00045,cus_0039,Camacho-Gregory,starter,99,,active,2019-03-11,
sub_00046,cus_0040,Crosby-Rivera,starter,99,,active,2019-03-08,
sub_00047,cus_0041,Clarke LLC,pro,299,,active,2019-03-16,
sub_00048,cus_0042,Ford LLC,starter,99,,active,2019-03-05,
sub_00049,cus_0043,Wright Inc,enterprise,799,,active,2019-03-29,
sub_00050,cus_0044,Thomas Bailey and Anthony,growth,499,,active,2019-03-16,
sub_00051,cus_0045,Brandt Group,starter,99,,active,2019-03-16,
sub_00052,cus_0046,Beasley-Stephens,enterprise,799,,active,2019-03-07,
sub_00053,cus_0047,Butler-Soto,starter,99,,active,2019-03-22,
sub_00054,cus_0048,Page Solomon and Gibson,pro,299,,active,2019-03-14,
sub_00055,cus_0049,Powell-Campos,pro,299,,active,2019-03-28,
sub_00056,cus_0050,Shaw Nguyen and Griffith,enterprise,799,,active,2019-03-22,
sub_00057,cus_0011,Rivera-Lewis,pro,299,99,active,2019-03-19,
sub_00058,cus_0020,Murray PLC,growth,499,299,active,2019-03-17,
sub_00059,cus_0023,Wilkinson LLC,pro,299,99,active,2019-03-06,
sub_00060,cus_0044,Thomas Bailey and Anthony,enterprise,799,499,active,2019-03-03,
sub_00061,cus_0030,Hansen-Bush,growth,499,799,active,2019-03-15,
sub_00062,cus_0028,Mueller and Sons,growth,499,299,active,2019-03-18,
sub_00063,cus_0043,Wright Inc,enterprise_plus,999,799,active,2019-03-27,
sub_00064,cus_0051,Reyes Group,starter,99,,active,2019-04-29,
sub_00065,cus_0052,Nielsen-Schroeder,starter,99,,active,2019-04-04,
sub_00066,cus_0053,Scott-Rojas,enterprise,799,,active,2019-04-24,
sub_00067,cus_0054,Mann Kelly and Fisher,growth,499,,active,2019-04-09,
sub_00068,cus_0055,Davenport Moore and Hodges,pro,299,,active,2019-04-07,
sub_00069,cus_0056,Warner-Cox,growth,499,,active,2019-04-07,
sub_00070,cus_0057,Snyder-Williams,growth,499,,active,2019-04-28,
sub_00071,cus_0058,Gordon-Woods,pro,299,,active,2019-04-16,
sub_00072,cus_0059,Evans Thomas and Ramirez,starter,99,,active,2019-04-30,
sub_00073,cus_0060,Pierce-Davis,enterprise,799,,active,2019-04-03,
sub_00074,cus_0061,Dickerson-Williams,growth,499,,active,2019-04-27,
sub_00075,cus_0062,Moreno Hernandez and Parker,pro,299,,active,2019-04-01,
sub_00076,cus_0063,Austin-Jackson,pro,299,,active,2019-04-05,
sub_00077,cus_0064,Hodge Davis and Hernandez,growth,499,,active,2019-04-09,
sub_00078,cus_0065,Martin Inc,starter,99,,active,2019-04-15,
sub_00079,cus_0066,Burke Group,growth,499,,active,2019-04-14,
sub_00080,cus_0067,Wheeler-Duncan,growth,499,,active,2019-04-04,
sub_00081,cus_0068,Martinez Watson and Stewart,starter,99,,active,2019-04-29,
sub_00082,cus_0069,Stewart PLC,growth,499,,active,2019-04-05,
sub_00083,cus_0070,Cooper PLC,growth,499,,active,2019-04-27,
sub_00084,cus_0071,Reed and Sons,pro,299,,active,2019-04-18,
sub_00085,cus_0072,Williams LLC,starter,99,,active,2019-04-05,
sub_00086,cus_0073,White Group,starter,99,,active,2019-04-12,
sub_00087,cus_0074,Lee-Webb,enterprise,799,,active,2019-04-26,
sub_00088,cus_0075,Riley Inc,enterprise_plus,999,,active,2019-04-02,
sub_00089,cus_0076,Choi Fernandez and Robinson,enterprise,799,,active,2019-04-07,
sub_00090,cus_0056,Warner-Cox,growth,499,499,cancelled,2019-04-30,2019-04-30
sub_00091,cus_0065,Martin Inc,pro,299,99,active,2019-04-25,
sub_00092,cus_0003,Mccullough Group,enterprise_plus,999,799,active,2019-04-16,
sub_00093,cus_0077,Gillespie-Moran,pro,299,,active,2019-05-30,
sub_00094,cus_0078,Curtis-Romero,growth,499,,active,2019-05-29,
sub_00095,cus_0079,Strong Brown and Rice,starter,99,,active,2019-05-28,
sub_00096,cus_0080,Swanson-Garcia,pro,299,,active,2019-05-09,
sub_00097,cus_0081,Parsons Cooper and Aguirre,enterprise,799,,active,2019-05-27,
sub_00098,cus_0082,Jones Cooke and Martin,growth,499,,active,2019-05-25,
sub_00099,cus_0083,Taylor Inc,enterprise,799,,active,2019-05-16,
sub_00100,cus_0084,Reilly Hudson and Davis,growth,499,,active,2019-05-09,
sub_00101,cus_0085,Simpson Hickman and Davis,pro,299,,active,2019-05-23,
sub_00102,cus_0086,Valencia-Waller,pro,299,,active,2019-05-09,
sub_00103,cus_0087,Rivera PLC,pro,299,,active,2019-05-29,
sub_00104,cus_0088,Cunningham Price and Barajas,growth,499,,active,2019-05-05,
sub_00105,cus_0089,Williams-Robinson,starter,99,,active,2019-05-13,
sub_00106,cus_0090,Lopez Ltd,growth,499,,active,2019-05-23,
sub_00107,cus_0091,Smith-Kelly,starter,99,,active,2019-05-14,
sub_00108,cus_0092,Diaz-Decker,pro,299,,active,2019-05-18,
sub_00109,cus_0093,Evans Group,pro,299,,active,2019-05-02,
sub_00110,cus_0094,Page-Mcdaniel,starter,99,,active,2019-05-14,
sub_00111,cus_0095,Gardner PLC,pro,299,,active,2019-05-25,
sub_00112,cus_0096,Mora-Crawford,growth,499,,active,2019-05-23,
sub_00113,cus_0097,Vazquez Nunez and Walters,starter,99,,active,2019-05-29,
sub_00114,cus_0098,Eaton and Sons,enterprise,799,,active,2019-05-13,
sub_00115,cus_0099,Bender Inc,pro,299,,active,2019-05-31,
sub_00116,cus_0100,Mcdonald LLC,pro,299,,active,2019-05-25,
sub_00117,cus_0101,Spence-Stewart,pro,299,,active,2019-05-29,
sub_00118,cus_0102,Davis and Sons,enterprise_plus,999,,active,2019-05-14,
sub_00119,cus_0089,Williams-Robinson,pro,299,99,active,2019-05-31,
sub_00120,cus_0094,Page-Mcdaniel,starter,99,99,cancelled,2019-05-10,2019-05-10
sub_00121,cus_0086,Valencia-Waller,starter,99,299,active,2019-05-07,
sub_00122,cus_0082,Jones Cooke and Martin,enterprise,799,499,active,2019-05-10,
sub_00123,cus_0062,Moreno Hernandez and Parker,starter,99,299,active,2019-05-28,
sub_00124,cus_0088,Cunningham Price and Barajas,enterprise,799,499,active,2019-05-10,
sub_00125,cus_0096,Mora-Crawford,enterprise,799,499,active,2019-05-31,
sub_00126,cus_0036,Morris PLC,pro,299,99,active,2019-05-03,
sub_00127,cus_0065,Martin Inc,growth,499,299,active,2019-05-21,
sub_00128,cus_0103,Cohen-Mitchell,growth,499,,active,2019-06-25,
sub_00129,cus_0104,Beard Pena and Anderson,growth,499,,active,2019-06-15,
sub_00130,cus_0105,Hooper-Parker,enterprise_plus,999,,active,2019-06-10,
sub_00131,cus_0106,Stephens Anderson and Cunningham,enterprise,799,,active,2019-06-14,
sub_00132,cus_0107,Gonzalez Inc,pro,299,,active,2019-06-20,
sub_00133,cus_0108,Williams LLC,starter,99,,active,2019-06-24,
sub_00134,cus_0109,Miller Porter and Jenkins,starter,99,,active,2019-06-25,
sub_00135,cus_0110,Crawford Shepherd and Jackson,starter,99,,active,2019-06-07,
sub_00136,cus_0111,Hickman Ltd,pro,299,,active,2019-06-03,
sub_00137,cus_0112,Grant Sanchez and Mcdonald,starter,99,,active,2019-06-06,
sub_00138,cus_0113,Wallace-York,growth,499,,active,2019-06-06,
sub_00139,cus_0114,Woods Howell and Campbell,starter,99,,active,2019-06-15,
sub_00140,cus_0115,Gonzales and Sons,growth,499,,active,2019-06-16,
sub_00141,cus_0116,Kelley Myers and Chase,pro,299,,active,2019-06-08,
sub_00142,cus_0117,Lewis Hardin and Stout,pro,299,,active,2019-06-10,
sub_00143,cus_0118,Aguirre Hughes and Warren,growth,499,,active,2019-06-15,
sub_00144,cus_0119,Weiss-Mendoza,starter,99,,active,2019-06-08,
sub_00145,cus_0120,Hanson PLC,enterprise_plus,999,,active,2019-06-26,
sub_00146,cus_0121,Vang Martin and Griffin,enterprise,799,,active,2019-06-19,
sub_00147,cus_0122,Nunez and Sons,growth,499,,active,2019-06-30,
sub_00148,cus_0123,Duran Inc,starter,99,,active,2019-06-04,
sub_00149,cus_0124,Ballard Lucero and Martin,growth,499,,active,2019-06-21,
sub_00150,cus_0039,Camacho-Gregory,pro,299,99,active,2019-06-24,
sub_00151,cus_0073,White Group,pro,299,99,active,2019-06-28,
sub_00152,cus_0104,Beard Pena and Anderson,enterprise,799,499,active,2019-06-03,
sub_00153,cus_0037,Peters-Torres,pro,299,499,active,2019-06-06,
sub_00154,cus_0063,Austin-Jackson,growth,499,299,active,2019-06-26,
sub_00155,cus_0023,Wilkinson LLC,growth,499,299,active,2019-06-12,
sub_00156,cus_0030,Hansen-Bush,enterprise,799,499,active,2019-06-28,
sub_00157,cus_0067,Wheeler-Duncan,enterprise,799,499,active,2019-06-12,
sub_00158,cus_0038,Stewart Reeves and Moore,pro,299,99,active,2019-06-13,
sub_00159,cus_0109,Miller Porter and Jenkins,pro,299,99,active,2019-06-20,
sub_00160,cus_0125,Johnson Boyd and Williams,starter,99,,active,2019-07-09,
sub_00161,cus_0126,Stevenson and Sons,growth,499,,active,2019-07-24,
sub_00162,cus_0127,Edwards-Diaz,enterprise,799,,active,2019-07-22,
sub_00163,cus_0128,Powers Nelson and Reed,enterprise,799,,active,2019-07-21,
sub_00164,cus_0129,Smith Wright and Grant,starter,99,,active,2019-07-21,
sub_00165,cus_0130,Bowers LLC,growth,499,,active,2019-07-10,
sub_00166,cus_0131,Nguyen LLC,enterprise,799,,active,2019-07-02,
sub_00167,cus_0132,Smith Roman and Tran,growth,499,,active,2019-07-24,
sub_00168,cus_0133,Adams-Mcdaniel,starter,99,,active,2019-07-30,
sub_00169,cus_0134,Gray-Ryan,pro,299,,active,2019-07-24,
sub_00170,cus_0135,Armstrong Horton and Nunez,pro,299,,active,2019-07-07,
sub_00171,cus_0136,Rose Anderson and Melendez,starter,99,,active,2019-07-18,
sub_00172,cus_0137,Coleman-Choi,enterprise,799,,active,2019-07-12,
sub_00173,cus_0138,Walker PLC,growth,499,,active,2019-07-30,
sub_00174,cus_0139,Ortiz PLC,pro,299,,active,2019-07-06,
sub_00175,cus_0140,Hansen-Johnson,starter,99,,active,2019-07-27,
sub_00176,cus_0041,Clarke LLC,growth,499,299,active,2019-07-26,
sub_00177,cus_0010,Marshall-Garcia,enterprise,799,499,active,2019-07-16,
sub_00178,cus_0116,Kelley Myers and Chase,starter,99,299,active,2019-07-20,
sub_00179,cus_0022,Kelly-Young,growth,499,299,active,2019-07-14,
sub_00180,cus_0112,Grant Sanchez and Mcdonald,pro,299,99,active,2019-07-03,
sub_00181,cus_0091,Smith-Kelly,pro,299,99,active,2019-07-24,
sub_00182,cus_0007,Marshall Ltd,growth,499,299,active,2019-07-10,
sub_00183,cus_0080,Swanson-Garcia,starter,99,299,active,2019-07-28,
sub_00184,cus_0037,Peters-Torres,starter,99,299,active,2019-07-09,
sub_00185,cus_0113,Wallace-York,enterprise,799,499,active,2019-07-30,
sub_00186,cus_0098,Eaton and Sons,enterprise_plus,999,799,active,2019-07-09,
sub_00187,cus_0093,Evans Group,pro,299,299,cancelled,2019-07-28,2019-07-28
sub_00188,cus_0005,Charles-Cummings,pro,299,99,active,2019-07-24,
sub_00189,cus_0018,Gilmore-Finley,growth,499,299,active,2019-07-24,
sub_00190,cus_0138,Walker PLC,enterprise,799,499,active,2019-07-07,
sub_00191,cus_0002,Collins Petersen and Taylor,starter,99,99,cancelled,2019-07-24,2019-07-24
sub_00192,cus_0078,Curtis-Romero,enterprise,799,499,active,2019-07-11,
sub_00193,cus_0141,Robinson Inc,starter,99,,active,2019-08-11,
sub_00194,cus_0142,Harding Klein and Davenport,starter,99,,active,2019-08-31,
sub_00195,cus_0143,Mcdaniel Ltd,growth,499,,active,2019-08-27,
sub_00196,cus_0144,Patterson PLC,growth,499,,active,2019-08-12,
sub_00197,cus_0145,Mcdonald PLC,starter,99,,active,2019-08-28,
sub_00198,cus_0146,Phillips Group,starter,99,,active,2019-08-14,
sub_00199,cus_0147,Miller Evans and Smith,growth,499,,active,2019-08-17,
sub_00200,cus_0148,Gilbert Lopez and Esparza,starter,99,,active,2019-08-28,
sub_00201,cus_0149,Simpson Johnson and Mullins,pro,299,,active,2019-08-11,
sub_00202,cus_0150,Garcia and Sons,starter,99,,active,2019-08-25,
sub_00203,cus_0151,Larson Elliott and Rivas,starter,99,,active,2019-08-17,
sub_00204,cus_0152,Butler Rose and Thompson,growth,499,,active,2019-08-17,
sub_00205,cus_0153,Brown Schmidt and Martin,pro,299,,active,2019-08-29,
sub_00206,cus_0154,Spencer Armstrong and Russell,enterprise,799,,active,2019-08-12,
sub_00207,cus_0155,Peterson-Miller,enterprise,799,,active,2019-08-27,
sub_00208,cus_0001,Wells Oneal and Ward,pro,299,99,active,2019-08-12,
sub_00209,cus_0110,Crawford Shepherd and Jackson,pro,299,99,active,2019-08-28,
sub_00210,cus_0117,Lewis Hardin and Stout,growth,499,299,active,2019-08-06,
sub_00211,cus_0103,Cohen-Mitchell,enterprise,799,499,active,2019-08-02,
sub_00212,cus_0123,Duran Inc,pro,299,99,active,2019-08-08,
sub_00213,cus_0072,Williams LLC,pro,299,99,active,2019-08-30,
sub_00214,cus_0027,Dennis Group,growth,499,299,active,2019-08-23,
sub_00215,cus_0023,Wilkinson LLC,growth,499,499,cancelled,2019-08-03,2019-08-03
sub_00216,cus_0121,Vang Martin and Griffin,enterprise_plus,999,799,active,2019-08-07,
sub_00217,cus_0058,Gordon-Woods,starter,99,299,active,2019-08-10,
sub_00218,cus_0073,White Group,growth,499,299,active,2019-08-27,
sub_00219,cus_0008,Winters PLC,enterprise,799,499,active,2019-08-17,
sub_00220,cus_0122,Nunez and Sons,growth,499,499,cancelled,2019-08-12,2019-08-12
sub_00221,cus_0070,Cooper PLC,pro,299,499,active,2019-08-12,
sub_00222,cus_0071,Reed and Sons,growth,499,299,active,2019-08-17,
sub_00223,cus_0109,Miller Porter and Jenkins,growth,499,299,active,2019-08-28,
sub_00224,cus_0046,Beasley-Stephens,enterprise_plus,999,799,active,2019-08-26,
sub_00225,cus_0015,Foster and Sons,growth,499,299,active,2019-08-08,
sub_00226,cus_0135,Armstrong Horton and Nunez,growth,499,299,active,2019-08-18,
sub_00227,cus_0128,Powers Nelson and Reed,enterprise_plus,999,799,active,2019-08-07,
sub_00228,cus_0052,Nielsen-Schroeder,pro,299,99,active,2019-08-07,
sub_00229,cus_0142,Harding Klein and Davenport,pro,299,99,active,2019-08-21,
sub_00230,cus_0118,Aguirre Hughes and Warren,enterprise,799,499,active,2019-08-20,
sub_00231,cus_0156,Walker Davis and Washington,starter,99,,active,2019-09-01,
sub_00232,cus_0157,Moss-Gonzalez,starter,99,,active,2019-09-20,
sub_00233,cus_0158,Thomas-Bush,growth,499,,active,2019-09-15,
sub_00234,cus_0159,Byrd LLC,starter,99,,active,2019-09-03,
sub_00235,cus_0160,Smith and Sons,starter,99,,active,2019-09-21,
sub_00236,cus_0161,Jordan-Collins,pro,299,,active,2019-09-13,
sub_00237,cus_0162,Sullivan-Hartman,enterprise_plus,999,,active,2019-09-02,
sub_00238,cus_0163,White Mcgrath and Fleming,growth,499,,active,2019-09-22,
sub_00239,cus_0164,White Jones and Tucker,pro,299,,active,2019-09-12,
sub_00240,cus_0165,Harrison-Smith,pro,299,,active,2019-09-25,
sub_00241,cus_0166,Hernandez-Pierce,starter,99,,active,2019-09-05,
sub_00242,cus_0167,Rice Rodriguez and Lewis,growth,499,,active,2019-09-13,
sub_00243,cus_0168,Villa PLC,pro,299,,active,2019-09-09,
sub_00244,cus_0169,Klein Conner and Ray,starter,99,,active,2019-09-04,
sub_00245,cus_0170,Tate-Lewis,starter,99,,active,2019-09-06,
sub_00246,cus_0171,Wilson Ltd,pro,299,,active,2019-09-13,
sub_00247,cus_0172,Figueroa-Barber,enterprise_plus,999,,active,2019-09-04,
sub_00248,cus_0173,Wells Group,pro,299,,active,2019-09-09,
sub_00249,cus_0174,Gardner-Mccarthy,growth,499,,active,2019-09-07,
sub_00250,cus_0175,Nielsen Miller and Fuller,enterprise_plus,999,,active,2019-09-10,
sub_00251,cus_0176,Pace Inc,growth,499,,active,2019-09-16,
sub_00252,cus_0177,Suarez-Lee,starter,99,,active,2019-09-05,
sub_00253,cus_0178,Kelly Inc,enterprise,799,,active,2019-09-15,
sub_00254,cus_0179,Johnston-Perez,starter,99,,active,2019-09-23,
sub_00255,cus_0180,Garcia Salazar and Roy,pro,299,,active,2019-09-03,
sub_00256,cus_0132,Smith Roman and Tran,growth,499,499,cancelled,2019-09-04,2019-09-04
sub_00257,cus_0163,White Mcgrath and Fleming,enterprise,799,499,active,2019-09-17,
sub_00258,cus_0173,Wells Group,growth,499,299,active,2019-09-12,
sub_00259,cus_0030,Hansen-Bush,enterprise_plus,999,799,active,2019-09-05,
sub_00260,cus_0026,Garcia Weber and Knight,growth,499,299,active,2019-09-11,
sub_00261,cus_0160,Smith and Sons,pro,299,99,active,2019-09-16,
sub_00262,cus_0033,Thomas Lucas and Fletcher,enterprise,799,499,active,2019-09-16,
sub_00263,cus_0076,Choi Fernandez and Robinson,enterprise_plus,999,799,active,2019-09-23,
sub_00264,cus_0165,Harrison-Smith,starter,99,299,active,2019-09-01,
sub_00265,cus_0045,Brandt Group,pro,299,99,active,2019-09-23,
sub_00266,cus_0022,Kelly-Young,enterprise,799,499,active,2019-09-30,
sub_00267,cus_0179,Johnston-Perez,pro,299,99,active,2019-09-14,
sub_00268,cus_0037,Peters-Torres,pro,299,99,active,2019-09-25,
sub_00269,cus_0159,Byrd LLC,pro,299,99,active,2019-09-19,
sub_00270,cus_0149,Simpson Johnson and Mullins,growth,499,299,active,2019-09-30,
sub_00271,cus_0171,Wilson Ltd,pro,299,299,cancelled,2019-09-19,2019-09-19
sub_00272,cus_0122,Nunez and Sons,pro,299,,reactivation,2019-09-26,
sub_00273,cus_0181,Howard Flores and Hernandez,growth,499,,active,2019-10-07,
sub_00274,cus_0182,Lara-Johnson,starter,99,,active,2019-10-28,
sub_00275,cus_0183,Hopkins-Lopez,growth,499,,active,2019-10-13,
sub_00276,cus_0184,Hebert Ltd,enterprise,799,,active,2019-10-17,
sub_00277,cus_0185,Reyes-Taylor,pro,299,,active,2019-10-13,
sub_00278,cus_0186,Jimenez Jones and Smith,growth,499,,active,2019-10-06,
sub_00279,cus_0187,Diaz Group,enterprise_plus,999,,active,2019-10-16,
sub_00280,cus_0188,Thompson Robinson and Jackson,pro,299,,active,2019-10-08,
sub_00281,cus_0189,Owens-Roberts,starter,99,,active,2019-10-13,
sub_00282,cus_0190,Thomas LLC,starter,99,,active,2019-10-25,
sub_00283,cus_0191,Johnson Pena and Allen,pro,299,,active,2019-10-11,
sub_00284,cus_0192,Jackson-Young,pro,299,,active,2019-10-24,
sub_00285,cus_0193,Cooper Brennan and Marshall,growth,499,,active,2019-10-09,
sub_00286,cus_0194,Cook Smith and Russell,growth,499,,active,2019-10-23,
sub_00287,cus_0195,Hughes PLC,starter,99,,active,2019-10-22,
sub_00288,cus_0196,Fowler-King,starter,99,,active,2019-10-10,
sub_00289,cus_0197,Atkinson Johnston and Byrd,starter,99,,active,2019-10-22,
sub_00290,cus_0198,Gonzalez-Martin,pro,299,,active,2019-10-29,
sub_00291,cus_0116,Kelley Myers and Chase,pro,299,99,active,2019-10-24,
sub_00292,cus_0156,Walker Davis and Washington,pro,299,99,active,2019-10-13,
sub_00293,cus_0041,Clarke LLC,enterprise,799,499,active,2019-10-30,
sub_00294,cus_0015,Foster and Sons,enterprise,799,499,active,2019-10-28,
sub_00295,cus_0114,Woods Howell and Campbell,pro,299,99,active,2019-10-02,
sub_00296,cus_0035,Meadows and Sons,pro,299,99,active,2019-10-27,
sub_00297,cus_0176,Pace Inc,growth,499,499,cancelled,2019-10-17,2019-10-17
sub_00298,cus_0164,White Jones and Tucker,growth,499,299,active,2019-10-21,
sub_00299,cus_0073,White Group,growth,499,499,cancelled,2019-10-18,2019-10-18
sub_00300,cus_0166,Hernandez-Pierce,starter,99,99,cancelled,2019-10-24,2019-10-24
sub_00301,cus_0117,Lewis Hardin and Stout,enterprise,799,499,active,2019-10-27,
sub_00302,cus_0100,Mcdonald LLC,growth,499,299,active,2019-10-31,
sub_00303,cus_0009,Anderson Ltd,pro,299,99,active,2019-10-01,
sub_00304,cus_0173,Wells Group,enterprise,799,499,active,2019-10-07,
sub_00305,cus_0032,Fox Group,enterprise,799,499,active,2019-10-06,
sub_00306,cus_0181,Howard Flores and Hernandez,enterprise,799,499,active,2019-10-24,
sub_00307,cus_0031,Anderson Group,enterprise_plus,999,799,active,2019-10-14,
sub_00308,cus_0021,Banks Carr and Williams,pro,299,99,active,2019-10-20,
sub_00309,cus_0022,Kelly-Young,enterprise_plus,999,799,active,2019-10-09,
sub_00310,cus_0129,Smith Wright and Grant,pro,299,99,active,2019-10-09,
sub_00311,cus_0080,Swanson-Garcia,pro,299,99,active,2019-10-01,
sub_00312,cus_0084,Reilly Hudson and Davis,pro,299,499,active,2019-10-03,
sub_00313,cus_0199,Randolph Bright and Schmidt,pro,299,,active,2019-11-13,
sub_00314,cus_0200,Murphy PLC,enterprise,799,,active,2019-11-24,
sub_00315,cus_0201,Russell-Turner,enterprise_plus,999,,active,2019-11-29,
sub_00316,cus_0202,Jones Group,enterprise_plus,999,,active,2019-11-08,
sub_00317,cus_0203,Miller Torres and Morgan,growth,499,,active,2019-11-06,
sub_00318,cus_0204,Perez-Day,growth,499,,active,2019-11-06,
sub_00319,cus_0205,Nichols Inc,starter,99,,active,2019-11-10,
sub_00320,cus_0206,Hernandez LLC,pro,299,,active,2019-11-05,
sub_00321,cus_0207,Richard Thornton and Jackson,starter,99,,active,2019-11-14,
sub_00322,cus_0208,Pitts-Perez,pro,299,,active,2019-11-10,
sub_00323,cus_0209,Bush Ramirez and Davis,pro,299,,active,2019-11-03,
sub_00324,cus_0210,Patel-Lamb,pro,299,,active,2019-11-08,
sub_00325,cus_0211,Castaneda Barnett and Parks,enterprise,799,,active,2019-11-16,
sub_00326,cus_0212,Davis Ltd,growth,499,,active,2019-11-07,
sub_00327,cus_0213,Pearson-Flowers,pro,299,,active,2019-11-05,
sub_00328,cus_0214,Mathis and Sons,pro,299,,active,2019-11-13,
sub_00329,cus_0215,Hernandez Perez and Taylor,pro,299,,active,2019-11-20,
sub_00330,cus_0216,Mendoza-Ayers,pro,299,,active,2019-11-28,
sub_00331,cus_0217,Knox-Booker,pro,299,,active,2019-11-11,
sub_00332,cus_0218,Barnes-Johnson,pro,299,,active,2019-11-27,
sub_00333,cus_0137,Coleman-Choi,enterprise_plus,999,799,active,2019-11-12,
sub_00334,cus_0072,Williams LLC,growth,499,299,active,2019-11-08,
sub_00335,cus_0168,Villa PLC,growth,499,299,active,2019-11-24,
sub_00336,cus_0037,Peters-Torres,growth,499,299,active,2019-11-09,
sub_00337,cus_0111,Hickman Ltd,growth,499,299,active,2019-11-12,
sub_00338,cus_0215,Hernandez Perez and Taylor,growth,499,299,active,2019-11-09,
sub_00339,cus_0191,Johnson Pena and Allen,starter,99,299,active,2019-11-28,
sub_00340,cus_0192,Jackson-Young,growth,499,299,active,2019-11-26,
sub_00341,cus_0214,Mathis and Sons,growth,499,299,active,2019-11-17,
sub_00342,cus_0097,Vazquez Nunez and Walters,pro,299,99,active,2019-11-15,
sub_00343,cus_0016,Kelly-Mcconnell,pro,299,99,active,2019-11-21,
sub_00344,cus_0005,Charles-Cummings,pro,299,299,cancelled,2019-11-14,2019-11-14
sub_00345,cus_0118,Aguirre Hughes and Warren,enterprise,799,799,cancelled,2019-11-16,2019-11-16
sub_00346,cus_0090,Lopez Ltd,enterprise,799,499,active,2019-11-19,
sub_00347,cus_0046,Beasley-Stephens,enterprise,799,999,active,2019-11-23,
sub_00348,cus_0011,Rivera-Lewis,growth,499,299,active,2019-11-26,
sub_00349,cus_0203,Miller Torres and Morgan,pro,299,499,active,2019-11-11,
sub_00350,cus_0122,Nunez and Sons,growth,499,299,active,2019-11-19,
sub_00351,cus_0020,Murray PLC,growth,499,499,cancelled,2019-11-21,2019-11-21
sub_00352,cus_0153,Brown Schmidt and Martin,growth,499,299,active,2019-11-28,
